words@amorozov1986m		114.658	115.027	потом
words@amorozov1986m		115.027	115.396	втроём
words@amorozov1986m		115.396	115.766	как
words@amorozov1986m		115.766	116.135	#нрзб#
words@amorozov1986m		116.135	116.504	/
words@amorozov1986m		116.504	116.874	потом
words@amorozov1986m		116.874	117.243	вчетвером
words@amorozov1986m		117.243	117.612	//
words@amorozov1986m		117.612	117.982	И
words@amorozov1986m		117.982	118.351	когда
words@amorozov1986m		118.351	118.72	мы
words@amorozov1986m		118.72	119.09	стали
words@amorozov1986m		119.09	119.459	играть
words@amorozov1986m		119.459	119.828	вчетвером
words@amorozov1986m		119.828	120.198	мы
words@amorozov1986m		120.198	120.567	стали
words@amorozov1986m		120.567	120.936	постепенно
words@amorozov1986m		120.936	121.306	скатываться
words@amorozov1986m		121.306	121.675	к
words@amorozov1986m		121.675	122.044	диско-панку
words@amorozov1986m		122.044	122.414	//
words@amorozov1986m		122.414	122.783	тогда
words@amorozov1986m		122.783	123.152	был
words@amorozov1986m		123.152	123.522	в
words@amorozov1986m		123.522	123.891	моде
words@amorozov1986m		123.891	124.26	этот
words@amorozov1986m		124.26	124.63	жанр
words@amorozov1986m		124.63	124.999	//
words@amorozov1986m		124.999	125.368	Ну
words@amorozov1986m		125.368	125.738	и
words@amorozov1986m		125.738	126.107	мы
words@amorozov1986m		126.107	126.476	переименовались
words@amorozov1986m		126.476	126.846	в
words@amorozov1986m		126.846	127.215	"ЦРУ"
words@amorozov1986m		127.215	127.585	//
words@amorozov1986m		142.573	143.341	Культуры
words@amorozov1986m		146.987	147.767	Дискурсы
words@amorozov1986m		149.682	150.308	А
words@amorozov1986m		150.308	150.934	/
words@amorozov1986m		150.934	151.56	меня
words@amorozov1986m		151.56	152.186	сформировал
words@amorozov1986m		152.186	152.812	андерграунд
words@amorozov1986m		152.812	153.438	Нью-Йорка
words@amorozov1986m		153.438	154.064	начала
words@amorozov1986m		154.064	154.69	семидесятых
words@amorozov1986m		154.69	155.317	//
words@amorozov1986m		157.538	157.906	Эээ
words@amorozov1986m		157.906	158.274	//
words@amorozov1986m		159.219	159.767	И
words@amorozov1986m		159.767	160.316	м-музыка
words@amorozov1986m		160.316	160.865	нулевых
words@amorozov1986m		160.865	161.414	//
words@amorozov1986m		162.011	162.596	А
words@amorozov1986m		162.596	163.181	также
words@amorozov1986m		163.181	163.767	лоу-фай
words@amorozov1986m		163.767	164.352	андерграунд
words@amorozov1986m		164.352	164.938	конца
words@amorozov1986m		164.938	165.523	нулевых
words@amorozov1986m		165.523	166.109	//
words@amorozov1986m		170.414	170.731	Да
words@amorozov1986m		171.571	172.341	Исключительно
words@amorozov1986m		205.056	205.527	А
words@amorozov1986m		205.527	205.998	/
words@amorozov1986m		205.998	206.47	ну
words@amorozov1986m		206.47	206.941	/
words@amorozov1986m		206.941	207.412	альбом
words@amorozov1986m		207.412	207.884	"Padla"
words@amorozov1986m		207.884	208.355	появился
words@amorozov1986m		208.355	208.827	на
words@amorozov1986m		208.827	209.298	блоге
words@amorozov1986m		209.298	209.769	AM
words@amorozov1986m		209.769	210.241	rar
words@amorozov1986m		210.241	210.712	//
words@amorozov1986m		210.712	211.184	который
words@amorozov1986m		211.184	211.655	тогда
words@amorozov1986m		211.655	212.126	был
words@amorozov1986m		212.126	212.598	самый
words@amorozov1986m		212.598	213.069	прогрессивный
words@amorozov1986m		213.069	213.541	на
words@amorozov1986m		213.541	214.012	ЖЖ
words@amorozov1986m		214.012	214.483	//
words@amorozov1986m		214.483	214.955	Ну
words@amorozov1986m		214.955	215.426	/
words@amorozov1986m		215.426	215.898	его
words@amorozov1986m		215.898	216.369	увидели
words@amorozov1986m		216.369	216.84	"СБПЧ"
words@amorozov1986m		216.84	217.312	/
words@amorozov1986m		217.312	217.783	именно
words@amorozov1986m		217.783	218.255	Зайцев
words@amorozov1986m		218.255	218.726	/
words@amorozov1986m		218.726	219.197	и
words@amorozov1986m		219.197	219.669	позвал
words@amorozov1986m		219.669	220.14	на
words@amorozov1986m		220.14	220.612	разогрев
words@amorozov1986m		223.459	223.803	А
words@amorozov1986m		223.803	224.147	/
words@amorozov1986m		224.147	224.492	я
